Wall time,Epoch,Loss/Validation
1724395225.8026814,0,0.6940978765487671
1724395262.377231,1,0.6931241750717163
1724395298.9776568,2,0.6686007380485535
1724395336.279419,3,0.6510332822799683
1724395373.1694453,4,0.574918270111084
1724395410.2922437,5,0.5317791104316711
1724395447.1717024,6,0.5282074809074402
1724395484.3190582,7,0.5036570429801941
1724395521.4017272,8,0.484432578086853
1724395558.2429454,9,0.46932774782180786
1724395594.822084,10,0.4464428424835205
1724395632.1185632,11,0.42501530051231384
1724395669.1942458,12,0.40755611658096313
1724395705.9424927,13,0.40164121985435486
1724395742.8818717,14,0.4067334830760956
1724395779.6533577,15,0.38822969794273376
1724395816.2816455,16,0.39000532031059265
1724395853.371836,17,0.3876347541809082
1724395890.4479604,18,0.38719362020492554
1724395927.798592,19,0.379014253616333
1724395965.5028005,20,0.37597787380218506
1724396002.3076153,21,0.37167346477508545
1724396039.103981,22,0.3686036169528961
1724396075.5523818,23,0.36467990279197693
1724396114.5029883,24,0.34588029980659485
1724396153.9356532,25,0.3707547187805176
1724396192.741835,26,0.34249332547187805
1724396231.8867095,27,0.3276187777519226
1724396271.5431929,28,0.3322625160217285
1724396310.3958473,29,0.3234112858772278
1724396348.6046014,30,0.3981526792049408
1724396386.9279928,31,0.3145711421966553
1724396424.6734219,32,0.34294235706329346
1724396461.6590044,33,0.34731343388557434
1724396499.0776474,34,0.3289700150489807
1724396535.400729,35,0.31862449645996094
1724396572.0324566,36,0.31632792949676514
1724396608.9677575,37,0.3210488259792328
1724396645.5613024,38,0.3501817584037781
1724396682.0447862,39,0.2937818765640259
1724396718.328495,40,0.32121512293815613
1724396755.0393732,41,0.29190200567245483
1724396794.0735428,42,0.2962150573730469
1724396831.8848748,43,0.3185652196407318
1724396868.4357274,44,0.2858438193798065
1724396905.6896071,45,0.2975778877735138
1724396942.3495204,46,0.32460296154022217
1724396979.1135967,47,0.2806214988231659
1724397016.3231971,48,0.28713396191596985
1724397052.489618,49,0.29295918345451355
1724397087.7927942,50,0.2898172438144684
1724397123.1844158,51,0.3102012276649475
1724397158.4464002,52,0.2752598822116852
1724397193.4578795,53,0.3139944076538086
1724397228.6277478,54,0.28321385383605957
1724397263.4627626,55,0.2866140604019165
1724397298.339274,56,0.3107711374759674
1724397333.2028494,57,0.27773603796958923
1724397368.275376,58,0.27057111263275146
